Country,Population_2020,Area_Km,Density_Pkm
Argentina,45195774,2736690,17
Algeria,43851044,2381740,18
Afghanistan,38928346,652860,60
Angola,32866272,1246700,26
Australia,25499884,7682300,3
Azerbaijan,10139177,82658,123
Austria,9006398,82409,109
Armenia,2963243,28470,104
Albania,2877797,27400,105
Antigua and Barbuda,97929,440,223
Andorra,77265,470,164
Brazil,212559417,8358140,25
Bangladesh,164689383,130170,1265
Burkina Faso,20903273,273600,76
Benin,12123200,112760,108
Burundi,11890784,25680,463
Bolivia,11673021,1083300,11
Belgium,11589623,30280,383
Belarus,9449323,202910,47
Bulgaria,6948445,108560,64
Bosnia and Herzegovina,3280819,51000,64
Botswana,2351627,566730,4
Bahrain,1701575,760,2239
Bhutan,771608,38117,20
Brunei,437479,5270,83
Belize,397628,22810,17
Bahamas,393244,10010,39
Barbados,287375,430,668
China,1439323776,9388211,153
Colombia,50882891,1109500,46
Canada,37742154,9093510,4
Cameroon,26545863,472710,56
Cote d'Ivoire,26378274,318000,83
Chile,19116201,743532,26
Cambodia,16718965,176520,95
Chad,16425864,1259200,13
Cuba,11326616,106440,106
Czechia (Czech Republic),10708981,77240,139
Congo (Congo-Brazzaville),5518087,341500,16
Costa Rica,5094118,51060,100
Central African Republic,4829767,622980,8
Croatia,4105267,55960,73
Cyprus,1207359,9240,131
Comoros,869601,1861,467
Cabo Verde,555987,4030,138
Democratic Republic of the Congo,89561403,2267050,40
Dominican Republic,10847910,48320,225
Denmark,5792202,42430,137
Djibouti,988000,23180,43
Dominica,71986,750,96
Ethiopia,114963588,1000000,115
Egypt,102334404,995450,103
Ecuador,17643054,248360,71
El Salvador,6486205,20720,313
Eritrea,3546421,101000,35
Equatorial Guinea,1402985,28050,50
Estonia,1326535,42390,31
Eswatini ,1160164,17200,67
Ethiopia,114963588,1000000,115
Egypt,102334404,995450,103
Ecuador,17643054,248360,71
El Salvador,6486205,20720,313
Eritrea,3546421,101000,35
Equatorial Guinea,1402985,28050,50
Estonia,1326535,42390,31
France,65273511,547557,119
Finland,5540720,303890,18
Fiji,896445,18270,49
Germany,83783942,348560,240
Ghana,31072940,227540,137
Guatemala,17915568,107160,167
Guinea,13132795,245720,53
Greece,10423054,128900,81
Georgia,3989167,69490,57
Gambia,2416668,10120,239
Gabon,2225734,257670,9
Guinea-Bissau,1968001,28120,70
Guyana,786552,196850,4
Grenada,112523,340,331
Haiti,11402528,27560,414
Honduras,9904607,111890,89
Hungary,9660351,90530,107
Holy See,801,0,2003
India,1380004385,2973190,464
Indonesia,273523615,1811570,151
Iran,83992949,1628550,52
Italy,60461826,294140,206
Iraq,40222493,434320,93
Israel,8655535,21640,400
Ireland,4937786,68890,72
Iceland,341243,100250,3
Japan,126476461,364555,347
Jordan,10203134,88780,115
Jamaica,2961167,10830,273
Kenya,53771296,569140,94
Kazakhstan,18776707,2699700,7
Kyrgyzstan,6524195,191800,34
Kuwait,4270571,17820,240
Kiribati,119449,810,147
Mexico,128932753,1943950,66
Myanmar ,54409800,653290,83
Morocco,36910560,446300,83
Malaysia,32365999,328550,99
Mozambique,31255435,786380,40
Madagascar,27691018,581795,48
Mali,20250833,1220190,17
Malawi,19129952,94280,203
Mauritania,4649658,1030700,5
Moldova,4033963,32850,123
Mongolia,3278290,1553560,2
Mauritius,1271768,2030,626
Montenegro,628066,13450,47
Maldives,540544,300,1802
Malta,441543,320,1380
Micronesia,115023,700,164
Marshall Islands,59190,180,329
Monaco,39242,1,26337
Nigeria,206139589,910770,226
Nepal,29136808,143350,203
North Korea,25778816,120410,214
Niger,24206644,1266700,19
Netherlands,17134872,33720,508
Nicaragua,6624554,120340,55
Norway,5421241,365268,15
New Zealand,4822233,263310,18
Namibia,2540905,823290,3
North Macedonia,2083374,25220,83
Nauru,10824,20,541
Oman,5106626,309500,16
Pakistan,220892340,770880,287
Philippines,109581078,298170,368
Poland,37846611,306230,124
Peru,32971854,1280000,26
Portugal,10196709,91590,111
Papua New Guinea,8947024,452860,20
Paraguay,7132538,397300,18
Palestine State,5101414,6020,847
Panama,4314767,74340,58
Palau,18094,460,39
Qatar,2881053,,248
Russia,145934462,16376870,9
Romania,19237691,230170,84
Rwanda,12952218,24670,525
South Africa,59308690,1213090,49
South Korea,51269185,97230,527
Spain,46754778,498800,94
Sudan,43849260,1765048,25
Saudi Arabia,34813871,2149690,16
Sri Lanka,21413249,62710,341
Syria,17500658,183630,95
Senegal,16743927,192530,87
Somalia,15893222,627340,25
South Sudan,11193725,610952,18
Sweden,10099265,410340,25
Serbia,8737371,87460,100
Switzerland,8654622,39516,219
Sierra Leone,7976983,72180,111
Singapore,5850342,700,8358
Slovakia,5459642,48088,114
Slovenia,2078938,20140,103
Solomon Islands,686884,27990,25
Suriname,586632,156000,4
Sao Tome and Principe,219159,960,228
Samoa,198414,2830,70
Saint Lucia,183627,610,301
Saint Vincent and the Grenadines,110940,390,284
Seychelles,98347,460,214
Saint Kitts and Nevis,53199,260,205
San Marino,33931,60,566
Turkey,84339067,769630,110
Thailand,69799978,510890,137
Tanzania,59734218,885800,67
Tunisia,11818619,155360,76
Tajikistan,9537645,139960,68
Togo,8278724,54390,152
Turkmenistan,6031200,469930,13
Trinidad and Tobago,1399488,5130,273
Timor-Leste,1318445,14870,89
Tonga,105695,720,147
Tuvalu,11792,30,393
United States of America,331002651,9147420,36
United Kingdom,67886011,241930,281
Uganda,45741007,199810,229
Ukraine,43733762,579320,75
Uzbekistan,33469203,425400,79
United Arab Emirates,9890402,83600,118
Uruguay,3473730,175020,20
Vietnam,97338579,310070,314
Venezuela,28435940,882050,32
Vanuatu,307145,12190,25
Yemen,29825964,527970,56
Zambia,18383955,743390,25
Zimbabwe,14862924,386850,38
